LU error, QR error, Solution error
0.0,1.1102230246251565E-16,0.0
0.0,1.3322676295501878E-15,3.885780586188048E-16
0.0,1.7985612998927536E-14,8.881784197001252E-16
0.0,2.8421709430404007E-14,6.38378239159465E-15
0.0,6.772360450213455E-14,4.746203430272544E-15
0.0,1.5276668818842154E-13,4.7378767575878555E-14
0.0,1.2505552149377763E-12,1.7458257062230587E-13
0.0,4.4426684553400264E-12,8.842371279627059E-13
0.0,2.1827872842550278E-11,4.001771136685761E-12
0.0,5.820766091346741E-11,1.918207259699045E-11
0.0,1.7773515992303146E-10,4.266356712356867E-11
